Spelnamn|Rating|#Reviews|Rabatt%|Pris|OrdinariePris|Utgivningsar|Win|Lin|OSX|Tid
The Elder Scrolls® Online|76|35003|-50%|9,99€|19,99€|22 May, 2017|1|0|1|26-03-2019 11:57:58
The Elder Scrolls V: Skyrim Special Edition|82|13618|-40%|23,99€|39,99€|27 Oct, 2016|1|0|0|26-03-2019 11:57:58
No Man's Sky|50|102068|-50%|27,49€|54,99€|12 Aug, 2016|1|0|0|26-03-2019 11:57:58
Black Desert Online|64|13825|-50%|4,99€|9,99€|24 May, 2017|1|0|0|26-03-2019 11:57:58
The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe|94|11495|-50%|9,99€|19,99€|16 Jun, 2009|1|0|0|26-03-2019 11:57:58
The Elder Scrolls IV: Oblivion® Game of the Year Edition|94|11495|-50%|7,49€|14,99€|16 Jun, 2009|1|0|0|26-03-2019 11:57:58
Stars in Shadow|76|348|-70%|6,89€|22,99€|19 Jan, 2017|1|0|0|26-03-2019 11:57:58
The Elder Scrolls III: Morrowind® Game of the Year Edition|94|7605|-50%|7,49€|14,99€|16 Jun, 2009|1|0|0|26-03-2019 11:57:58
Deus Ex: Mankind Divided|68|14939|-85%|4,49€|29,99€|23 Aug, 2016|1|1|1|26-03-2019 11:57:58
Just Cause™ 3|73|36844|-85%|2,99€|19,99€|30 Nov, 2015|1|0|0|26-03-2019 11:57:58
The Deus Ex Collection|77|35492|-88%|10,60€|88,94€|unknown|1|0|0|26-03-2019 11:57:58
Tropico 6|No rating|N/A|-10%|44,99€|49,99€|29 Mar, 2019|1|1|0|26-03-2019 11:57:58
We. The Revolution|79|184|-10%|17,99€|19,99€|21 Mar, 2019|1|1|1|26-03-2019 11:57:58
Rise of the Tomb Raider™|92|36971|-80%|9,99€|49,99€|28 Jan, 2016|1|1|1|26-03-2019 11:57:58
Influent - Polyglot Pack [All Languages]|74|747|-80%|19,--€|94,82€|unknown|1|1|1|26-03-2019 11:57:58
The Elder Scrolls V: Skyrim VR|80|2035|-35%|38,99€|59,99€|2 Apr, 2018|1|0|0|26-03-2019 11:57:58
Lobotomy Corporation | Monster Management Simulation|89|3482|-33%|15,40€|22,99€|9 Apr, 2018|1|0|0|26-03-2019 11:57:58
Road Redemption|81|4753|-60%|6,72€|16,79€|4 Oct, 2017|1|1|1|26-03-2019 11:57:58
Final Assault|100|40|-33%|16,74€|24,99€|21 Mar, 2019|1|0|0|26-03-2019 11:57:58
Deus Ex: Mankind Divided - Digital Deluxe Edition|67|15237|-82%|8,23€|44,98€|unknown|1|1|1|26-03-2019 11:57:58
The House of Da Vinci|89|859|-50%|9,99€|19,99€|24 Nov, 2017|1|0|1|26-03-2019 11:57:58
Influent|73|698|-50%|4,99€|9,99€|20 Mar, 2014|1|1|1|26-03-2019 11:57:58
Shadow of the Tomb Raider|71|9704|-50%|29,99€|59,99€|14 Sep, 2018|1|0|0|26-03-2019 11:57:58
Deus Ex: Human Revolution - Director's Cut|91|11499|-85%|2,99€|19,99€|25 Oct, 2013|1|0|1|26-03-2019 11:57:58
Slime Rancher|96|20788|-50%|9,99€|19,99€|1 Aug, 2017|1|1|1|26-03-2019 11:57:58
